seed,run_id,alpha,threshold,auc,ap,precision,recall,f1,test_benign_fpr,tp,fp,tn,fn,recall_family_Bot,recall_family_DDoS,recall_family_PortScan
2,formal_tcn_wgan_gp_seed2,0.05,0.20828108489513397,0.9291246823860773,0.8243554931798747,0.8558611170099809,0.868494774270014,0.8621316647949089,0.10716400236826525,16121,2715,22620,2441,0.0,0.7714672908710115,0.9574633388365543
2,formal_tcn_wgan_gp_seed2,0.1,0.19943767786026,0.9304315619678104,0.8296134502616328,0.8562998405103668,0.8677405451998706,0.8619822326875735,0.10669034931912375,16107,2703,22632,2455,0.0,0.7698657139337194,0.9573662231717976
2,formal_tcn_wgan_gp_seed2,0.15,0.19017019867897034,0.9318881731059593,0.8359173717070331,0.8568007662835249,0.8674173041698093,0.8620763505916367,0.10621669626998224,16101,2691,22644,2461,0.0,0.7686337316742639,0.9577546858308245
2,formal_tcn_wgan_gp_seed2,0.2,0.18163472414016724,0.9336156721779252,0.8435659520059723,0.8577678190354247,0.8661782135545738,0.8619525009381868,0.10522991908427078,16078,2666,22669,2484,0.0,0.766169767155353,0.9574633388365543
2,formal_tcn_wgan_gp_seed2,0.24,0.17442382872104645,0.9350556810902849,0.8502045066459398,0.8585394518937978,0.8658010990195022,0.8621549851130603,0.10451943951055852,16071,2648,22687,2491,0.0,0.765060983121843,0.9576575701660678
2,formal_tcn_wgan_gp_seed2,0.25,0.17258206009864807,0.9354110474006677,0.851855778357095,0.8588229005185225,0.8655317314944511,0.8621642652070086,0.10424314189855931,16066,2641,22694,2496,0.0,0.7644449919921154,0.9576575701660678
2,formal_tcn_wgan_gp_seed2,0.3,0.16366559267044067,0.9373635776022057,0.8612730176144466,0.8603453823876435,0.8642387673742054,0.8622876800688024,0.10278271166370634,16042,2604,22731,2520,0.0,0.7616114327953677,0.9575604545013111
2,formal_tcn_wgan_gp_seed2,0.35,0.15433049201965332,0.9394227129123554,0.8712080191115829,0.8616352201257862,0.8635384118090723,0.8625857661778555,0.10159857904085258,16029,2574,22761,2533,0.0,0.7593938647283479,0.9580460328250947
2,formal_tcn_wgan_gp_seed2,0.4,0.1450960487127304,0.9414900435447197,0.8816518701464386,0.8626880155264435,0.862083827173796,0.8623858155263938,0.10053285968028419,16002,2547,22788,2560,0.0,0.7559443144018726,0.9581431484898514
2,formal_tcn_wgan_gp_seed2,0.45,0.13604089617729187,0.9435948846814607,0.8916305514136146,0.86459236773634,0.8592824049132637,0.8619292083220751,0.09859877639628972,15950,2498,22837,2612,0.0,0.7486756190710854,0.9588229581431484
2,formal_tcn_wgan_gp_seed2,0.5,0.12654587626457214,0.9457261596662688,0.9003334259007946,0.8883419109420452,0.8555112595625471,0.8716175421263516,0.07878429050720347,15880,1996,23339,2682,0.0,0.7388197609954417,0.9597941147907157
2,formal_tcn_wgan_gp_seed2,0.55,0.11935114115476608,0.9477265795542616,0.9073410969024306,0.8919781221513218,0.8434435944402543,0.8670321758874676,0.07483718176435761,15656,1896,23439,2906,0.0,0.7120857459652581,0.9591143051374187
2,formal_tcn_wgan_gp_seed2,0.6,0.11278559267520905,0.949318487934557,0.9113377939730903,0.8939547048683351,0.8102036418489387,0.850021195421789,0.07041641997237023,15039,1784,23551,3523,0.0,0.6380436121719847,0.9575604545013111
2,formal_tcn_wgan_gp_seed2,0.65,0.10685780644416809,0.9502976120417395,0.9127141606493698,0.9013587666579567,0.7433466221312358,0.8147623265426632,0.05960134201697257,13798,1510,23825,4764,0.0,0.4872489836146359,0.9559094882004467
2,formal_tcn_wgan_gp_seed2,0.7,0.10091949999332428,0.9504495402166938,0.9115963029753561,0.9155497910361724,0.6845167546600582,0.7833538840937115,0.046260114466153544,12706,1172,24163,5856,0.0,0.35481089072317357,0.9542585218995824
2,formal_tcn_wgan_gp_seed2,0.75,0.094585120677948,0.9496068339886082,0.9079967221785775,0.9383766383076569,0.6595733218403189,0.7746527887626942,0.03173475429248076,12243,804,24531,6319,0.0,0.29986448195145987,0.9526075555987181
2,formal_tcn_wgan_gp_seed2,0.8,0.08764803409576416,0.9474448935285386,0.9023871666615055,0.9561762581266554,0.6417950651869411,0.7680603462170787,0.021551213735938424,11913,546,24789,6649,0.0,0.26130343723050387,0.9509565892978538
2,formal_tcn_wgan_gp_seed2,0.85,0.08191704750061035,0.943013529277661,0.8939798821977889,0.9600460374876685,0.6291347915095357,0.7601379938814035,0.019182948490230906,11678,486,24849,6884,0.006756756756756757,0.23604780091166688,0.9479460036903953
2,formal_tcn_wgan_gp_seed2,0.9,0.07570070773363113,0.9333125345667059,0.8804063665599693,0.956583215503618,0.6195991811227238,0.7520680071930684,0.020603907637655416,11501,522,24813,7061,0.006756756756756757,0.2220032031538746,0.9418277168107215
2,formal_tcn_wgan_gp_seed2,0.95,0.06954798102378845,0.9038654936255852,0.8520467881754844,0.9534355001684068,0.6100096972309018,0.7440042052697285,0.021827511347937634,11323,553,24782,7239,0.02027027027027027,0.21017617346310213,0.9336700009711566
2,formal_tcn_wgan_gp_seed2,1.0,0.06283511221408844,0.7835680397914152,0.7908187824464902,0.9498217014773306,0.6026829005495098,0.7374423203691497,0.023327412670219063,11187,591,24744,7375,0.02027027027027027,0.20303067635826044,0.9260949791201321
3,formal_tcn_wgan_gp_seed3,0.0,0.1352466642856598,0.8472918489695254,0.6749901733722508,0.7784054308508003,0.8462988902057967,0.8109335880029941,0.1765147029800671,15709,4472,20863,2853,0.02027027027027027,0.9238634963656523,0.7970282606584442
3,formal_tcn_wgan_gp_seed3,0.05,0.14046376943588257,0.8582957042796019,0.6959031617425602,0.7800197932702881,0.7643034155802176,0.7720816326530613,0.15792382080126308,14187,4001,21334,4375,0.013513513513513514,0.8253049156092153,0.7270078663688453
3,formal_tcn_wgan_gp_seed3,0.1,0.14180493354797363,0.8679824347919539,0.7190188963598655,0.80433524490977,0.8236181445964874,0.8138624930128563,0.14679297414643774,15288,3719,21616,3274,0.0,0.7789823826536898,0.8706419345440419
3,formal_tcn_wgan_gp_seed3,0.15,0.14221405982971191,0.8766626993566885,0.7444618805456209,0.8160937664248923,0.8364939122939339,0.8261679259338087,0.13810933491217683,15527,3499,21836,3035,0.0,0.7641985955402242,0.9055064581917063
3,formal_tcn_wgan_gp_seed3,0.2,0.14120537042617798,0.883885693585068,0.7664684948885523,0.8195333695062398,0.8137054196746041,0.8166089965397925,0.1312808367870535,15104,3326,22009,3458,0.0,0.687938893679931,0.9245411284840245
3,formal_tcn_wgan_gp_seed3,0.24,0.14034859836101532,0.8902380485929872,0.7832058762680579,0.8143341517596165,0.750457924792587,0.7810922956151173,0.12536017367278468,13930,3176,22159,4632,0.0,0.5335715165701614,0.9322132659998058
3,formal_tcn_wgan_gp_seed3,0.25,0.1397404670715332,0.8920552422131308,0.787584677034488,0.813218050455999,0.7397909708005603,0.7747686752426088,0.1244918097493586,13732,3154,22181,4830,0.0,0.5062215104102501,0.9345440419539671
3,formal_tcn_wgan_gp_seed3,0.3,0.13930830359458923,0.9013936204966582,0.8079937257652687,0.8104479511326037,0.6861868333153754,0.7431588774140847,0.11758436944937833,12737,2979,22356,5825,0.0,0.37908094123444624,0.938137321549966
3,formal_tcn_wgan_gp_seed3,0.35,0.13786613941192627,0.9086064194805233,0.8245329063322803,0.8171509567682494,0.6832776640448227,0.7442419974767479,0.11201894612196565,12683,2838,22497,5879,0.006756756756756757,0.3675003079955649,0.9419248324754783
3,formal_tcn_wgan_gp_seed3,0.4,0.13565734028816223,0.9151383209417893,0.8426470078847347,0.8253555887510554,0.6846245016700786,0.7484319326246355,0.10613775409512533,12708,2689,22646,5854,0.013513513513513514,0.3662683257361094,0.9452267650772069
3,formal_tcn_wgan_gp_seed3,0.45,0.131546288728714,0.9220070833186342,0.8627125631294521,0.8580080753701211,0.6868871888805086,0.762970498474059,0.08328399447404776,12750,2110,23225,5812,0.02702702702702703,0.3667611186398916,0.948722929008449
3,formal_tcn_wgan_gp_seed3,0.5,0.13493186235427856,0.9277837966826892,0.8797685821462679,0.8737463937354032,0.6852709837302015,0.7681159420289855,0.07254785869350701,12720,1838,23497,5842,0.02702702702702703,0.3644203523469262,0.947654656696125
3,formal_tcn_wgan_gp_seed3,0.55,0.13841786980628967,0.9308750088539888,0.8893044084802656,0.8987404472120011,0.684247387135007,0.7769621337248425,0.056483126110124335,12701,1431,23904,5861,0.02702702702702703,0.36269557718368856,0.9471690783723414
3,formal_tcn_wgan_gp_seed3,0.6,0.14276118576526642,0.9312100410261572,0.8915924524181261,0.9323081450960194,0.6826311819847,0.7881690666500794,0.036313400434181964,12671,920,24415,5891,0.02702702702702703,0.36060120734261425,0.945906574730504
3,formal_tcn_wgan_gp_seed3,0.65,0.1459812968969345,0.9292649214883241,0.8895561401761791,0.956373551465576,0.6802607477642495,0.7950259719817409,0.022735346358792183,12627,576,24759,5935,0.02702702702702703,0.3564124676604657,0.9449354180829368
3,formal_tcn_wgan_gp_seed3,0.7,0.14910376071929932,0.926476672559686,0.8864204452952532,0.9641784146059625,0.6742807887081134,0.793583362394192,0.018354055654233273,12516,465,24870,6046,0.02702702702702703,0.34507823087347544,0.943090220452559
3,formal_tcn_wgan_gp_seed3,0.75,0.15365871787071228,0.9226415084309217,0.8825166653413633,0.9647251206977107,0.6674388535718134,0.789007769710865,0.017880402605091772,12389,453,24882,6173,0.02702702702702703,0.3316496242454109,0.9413421384869379
3,formal_tcn_wgan_gp_seed3,0.8,0.15693995356559753,0.917762459287334,0.878037739303618,0.9642801067671534,0.6617282620407283,0.7848562300319489,0.017959344779948688,12283,455,24880,6279,0.02702702702702703,0.3193298016508562,0.9407594444983975
3,formal_tcn_wgan_gp_seed3,0.85,0.16082002222537994,0.9111867615478288,0.8726090940548092,0.9639974679537902,0.6563409115397048,0.7809615384615385,0.017959344779948688,12183,455,24880,6379,0.02702702702702703,0.30898115067143034,0.93920559386229
3,formal_tcn_wgan_gp_seed3,0.9,0.1643749475479126,0.9032676827207585,0.8667527614175545,0.9634583233818963,0.6519771576338756,0.7776885261703563,0.018117229129662522,12102,459,24876,6460,0.02702702702702703,0.30048047308118764,0.9380402058852093
