seed,run_id,block_scheme,block_id,source_file,window_count,benign_support,attack_support,attack_families,score_mean,score_std,benign_fpr,recall,precision,f1,threshold_margin_mean,wasserstein_to_calibration_benign
1,formal_tcn_wgan_gp_seed1,equal_order,B08,mixed,4389,771,3618,PortScan,0.17847877387001596,0.04974338707589063,0.016861219195849545,0.9955776672194583,0.9964038727524205,0.9959905986450989,0.030640322901750415,0.02562991831910058
1,formal_tcn_wgan_gp_seed1,equal_order,B09,mixed,4389,50,4339,PortScan,0.17092919813738894,0.01699830413008151,0.0,0.9612814012445264,1.0,0.9802585193889541,0.023090747169123394,0.03850295858063167
1,formal_tcn_wgan_gp_seed1,equal_order,B10,mixed,4389,2093,2296,PortScan,0.12785681089936887,0.06222671226221552,0.019589106545628284,0.8789198606271778,0.9800874210781932,0.9267508610792193,-0.019981640068896658,0.028561730536937047
1,formal_tcn_wgan_gp_seed1,source_file,Friday-WorkingHours-Morning.pcap_ISCX.csv,Friday-WorkingHours-Morning.pcap_ISCX.csv,11924,11776,148,Bot,0.07199105699929219,0.0344328560874905,0.014436141304347826,0.0,0.0,0.0,-0.07584739396897335,0.029805464442671244
1,formal_tcn_wgan_gp_seed1,source_file,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,14099,5982,8117,DDoS,0.1637579051198312,0.06929620166003399,0.4573721163490471,0.7510163853640508,0.6902173913043478,0.7193344740102662,0.015919454151565662,0.05373976668084784
1,formal_tcn_wgan_gp_seed1,source_file,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,17874,7577,10297,PortScan,0.13582125696753217,0.0615772455012497,0.011746073643922397,0.950859473633097,0.9909919028340081,0.9705109778460623,-0.012017194000733363,0.02988823061719615
2,formal_tcn_wgan_gp_seed2,equal_order,B01,mixed,4390,4390,0,,0.06471439061045559,0.034280754189058404,0.008200455580865604,0.0,0.0,0.0,-0.10970944556117146,0.05261796912811954
2,formal_tcn_wgan_gp_seed2,equal_order,B02,mixed,4390,4242,148,Bot,0.07037420350603645,0.03407173619064098,0.003771805752003772,0.0,0.0,0.0,-0.1040496326655906,0.04632221555624817
2,formal_tcn_wgan_gp_seed2,equal_order,B03,mixed,4390,4317,73,DDoS,0.08218577450528473,0.04834625666232432,0.051192958072735696,0.9178082191780822,0.2326388888888889,0.37119113573407203,-0.09223806166634231,0.03762495917727009
2,formal_tcn_wgan_gp_seed2,equal_order,B04,mixed,4390,1093,3297,DDoS,0.21436015276241457,0.05943277416234856,0.6880146386093321,0.816196542311192,0.7815858263142608,0.7985163204747774,0.039936316590787536,0.08591840145560303
2,formal_tcn_wgan_gp_seed2,equal_order,B05,mixed,4390,1190,3200,DDoS,0.211613234514123,0.061294029904549616,0.7739495798319328,0.7315625,0.7176578786020846,0.7245434849891674,0.03718939834249596,0.09215330593202137
2,formal_tcn_wgan_gp_seed2,equal_order,B06,mixed,4390,2843,1547,DDoS,0.1548648043974943,0.07612536934168504,0.23461132606401688,0.718164188752424,0.624859392575928,0.6682706766917293,-0.019559031774132745,0.03119365175983743
2,formal_tcn_wgan_gp_seed2,equal_order,B07,mixed,4390,4346,44,PortScan,0.06549776779965832,0.03249881756448032,0.0018407731247123793,0.0,0.0,0.0,-0.10892606837196873,0.05167001171665721
2,formal_tcn_wgan_gp_seed2,equal_order,B08,mixed,4389,771,3618,PortScan,0.24028288172704487,0.0800454088344009,0.007782101167315175,0.9958540630182421,0.99833748960931,0.9970942299709423,0.06585904555541783,0.045043188802211476
2,formal_tcn_wgan_gp_seed2,equal_order,B09,mixed,4389,50,4339,PortScan,0.22542228683823193,0.02754752599503177,0.0,0.9665821617884305,1.0,0.9830071487167468,0.0509984506666049,0.05753204127461395
2,formal_tcn_wgan_gp_seed2,equal_order,B10,mixed,4389,2093,2296,PortScan,0.15801765037894736,0.09844476833176226,0.010033444816053512,0.8989547038327527,0.9899280575539569,0.9422506277105684,-0.016406185792679676,0.0509011739283398
2,formal_tcn_wgan_gp_seed2,source_file,Friday-WorkingHours-Morning.pcap_ISCX.csv,Friday-WorkingHours-Morning.pcap_ISCX.csv,11924,11776,148,Bot,0.0677979738964777,0.03470632932749594,0.007642663043478261,0.0,0.0,0.0,-0.10662586227514935,0.04933701799896152
2,formal_tcn_wgan_gp_seed2,source_file,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,14099,5982,8117,DDoS,0.18953820279558833,0.07220095619363744,0.42109662320294217,0.765060983121843,0.7114216977889792,0.7372670070046302,0.015114366623961291,0.042044990932173634
2,formal_tcn_wgan_gp_seed2,source_file,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,17874,7577,10297,PortScan,0.17052963134881394,0.09632148723437776,0.0051471558664379045,0.9576575701660678,0.9960606060606061,0.9764816556914393,-0.003894204822813122,0.050524059733080814
3,formal_tcn_wgan_gp_seed3,equal_order,B01,mixed,4390,4390,0,,0.054519484072824594,0.027931338420206137,0.015034168564920273,0.0,0.0,0.0,-0.08582910683761012,0.039629496160823376
3,formal_tcn_wgan_gp_seed3,equal_order,B02,mixed,4390,4242,148,Bot,0.05843599509423691,0.0279100507514962,0.014144271570014143,0.0,0.0,0.0,-0.08191259581619782,0.03539657748010685
3,formal_tcn_wgan_gp_seed3,equal_order,B03,mixed,4390,4317,73,DDoS,0.06934894893394078,0.04288786090200866,0.07597868890433171,0.5342465753424658,0.10626702997275204,0.17727272727272728,-0.07099964197649396,0.026018422848079828
3,formal_tcn_wgan_gp_seed3,equal_order,B04,mixed,4390,1093,3297,DDoS,0.21024138841845103,0.10503655371551919,0.7218664226898445,0.5662723688201395,0.7029367469879518,0.627246766336301,0.0698927975080163,0.09539160437598672
3,formal_tcn_wgan_gp_seed3,equal_order,B05,mixed,4390,1190,3200,DDoS,0.2069362348118451,0.09500349243579274,0.8277310924369747,0.5503125,0.6412964311726147,0.5923309788092836,0.06658764390141038,0.11098944727303747
3,formal_tcn_wgan_gp_seed3,equal_order,B06,mixed,4390,2843,1547,DDoS,0.13450273383781322,0.08119901087721446,0.29862820963770664,0.42921784098254684,0.4388631857237277,0.4339869281045751,-0.005845857072621508,0.024443130423153537
3,formal_tcn_wgan_gp_seed3,equal_order,B07,mixed,4390,4346,44,PortScan,0.054411250994760824,0.02623974442683145,0.010124252185918085,0.0,0.0,0.0,-0.0859373399156739,0.03965002799536854
