model,seed,run_id,attack_family,support,recall,precision_one_vs_rest,score_mean,score_median,score_std,score_q05,score_q25,score_q75,score_q95,threshold,threshold_margin_mean,threshold_margin_median,false_negative_count,false_negative_rate
tcn_wgan_gp,4,formal_tcn_wgan_gp_seed4,DDoS,8117,0.38228409510903044,0.20582382594852747,0.2811376796827646,0.23363687,0.08172150779950307,0.19078751800000002,0.22290593,0.36302722,0.41900975799999995,0.28271347284317017,-0.0015757931604055994,-0.04907660284317017,5014,0.6177159048909696
tcn_gan,0,pilot_tcn_gan_seed0,PortScan,10297,0.83985626881616,0.5176583263498145,0.3124350789601243,0.3083806,0.10516395203664748,0.0625018268,0.30611622,0.39704075,0.399719092,0.2457498013973236,0.0666852775628007,0.0626307986026764,1649,0.16014373118383995
tcn_gan,1,formal_tcn_gan_seed1,PortScan,10297,0.6690298145090803,0.4792014468558709,0.3237231611664562,0.32792813,0.02058110021062648,0.29752887200000006,0.32431734,0.3312114,0.33658141999999996,0.32579727470874786,-0.002074113542291614,0.0021308552912521206,3408,0.33097018549091967
tcn_gan,2,formal_tcn_gan_seed2,PortScan,10297,0.9660095173351462,0.5302804136901589,0.2517285390754297,0.3149205,0.09515242326199878,0.082326832,0.17168224,0.3286482,0.33589949599999996,0.07193594798445702,0.17979259109097273,0.24298455201554298,350,0.03399048266485384
tcn_gan,3,formal_tcn_gan_seed3,PortScan,10297,0.9119160920656502,0.5817483427296946,0.5142100980315626,0.5231279,0.09386810778397803,0.2718473,0.51545817,0.5714678,0.57666001,0.3591739237308502,0.15503617430071237,0.16395397626914976,907,0.08808390793434981
tcn_gan,4,formal_tcn_gan_seed4,PortScan,10297,0.9440613771001263,0.5239866321690384,0.5303576078733321,0.528691,0.09573210663262108,0.29409464,0.5198652,0.588851,0.595530728,0.3208974301815033,0.20946017769182873,0.20779356981849673,576,0.05593862289987375
tcn_wgan_gp,0,pilot_tcn_wgan_gp_seed0,PortScan,10297,0.9730989608623871,0.5103132161955691,0.17826865217150628,0.1813433,0.02126728493982832,0.151974824,0.17349696,0.18990484,0.198378416,0.12253918126225471,0.05572947090925155,0.0588041187377453,277,0.0269010391376129
tcn_wgan_gp,1,formal_tcn_wgan_gp_seed1,PortScan,10297,0.950859473633097,0.5185361720156763,0.18262110202291928,0.1781437,0.024233680306680376,0.148726846,0.17377006,0.20134926,0.20414089,0.14783845096826553,0.034782651054653765,0.030305249031734455,506,0.049140526366902984
tcn_wgan_gp,2,formal_tcn_wgan_gp_seed2,PortScan,10297,0.9576575701660678,0.526790961055612,0.24685229396678648,0.23638222,0.03895251879710477,0.18833695,0.2307292,0.27895942,0.28475607799999997,0.17442383617162704,0.0724284577951594,0.06195838382837296,436,0.042342429833932216
tcn_wgan_gp,3,formal_tcn_wgan_gp_seed3,PortScan,10297,0.9322132659998058,0.5611481351572548,0.1601587759268719,0.16208647,0.023020811138886207,0.120853078,0.15461439,0.17061266,0.1863016699999999,0.14034859091043472,0.019810185016437182,0.021737879089565287,698,0.06778673400019423
tcn_wgan_gp,4,formal_tcn_wgan_gp_seed4,PortScan,10297,0.9626104690686608,0.6574688246219156,0.506380458999223,0.52306926,0.07306530015391574,0.427077684,0.51748353,0.52756333,0.532734588,0.28271347284317017,0.2236669861560529,0.24035578715682981,385,0.037389530931339225
