seed,run_id,calibration_fraction,repeat_id,sample_size,target_fpr,threshold,calibration_empirical_fpr,test_benign_fpr,abs_test_fpr_minus_target_fpr,precision,recall,f1,tp,fp,tn,fn
2,formal_tcn_wgan_gp_seed2,0.4,12,6636,0.25,0.16980670392513275,0.25,0.10957173870140122,0.14042826129859878,0.8531993654151243,0.8691951298351471,0.8611229718189582,16134,2776,22559,2428
2,formal_tcn_wgan_gp_seed2,0.4,13,6636,0.25,0.17954352498054504,0.25,0.09926978488257351,0.15073021511742649,0.8641641911963273,0.8619760801637755,0.8630687488200232,16000,2515,22820,2562
2,formal_tcn_wgan_gp_seed2,0.4,14,6636,0.25,0.16237714886665344,0.25,0.11872903098480363,0.13127096901519636,0.8437889488990444,0.875336709406314,0.8592733618911629,16248,3008,22327,2314
2,formal_tcn_wgan_gp_seed2,0.4,15,6636,0.25,0.17875699698925018,0.25,0.10025656206828498,0.14974343793171502,0.8630580116454605,0.8624070682038574,0.8627324171382377,16008,2540,22795,2554
2,formal_tcn_wgan_gp_seed2,0.4,16,6636,0.25,0.16849076747894287,0.25,0.11099269784882573,0.13900730215117427,0.8516877637130802,0.8699493589052903,0.8607217099301744,16148,2812,22523,2414
2,formal_tcn_wgan_gp_seed2,0.4,17,6636,0.25,0.16565510630607605,0.25,0.11411091375567396,0.13588908624432605,0.848599109714585,0.8729662751858636,0.8606102451071515,16204,2891,22444,2358
2,formal_tcn_wgan_gp_seed2,0.4,18,6636,0.25,0.17871426045894623,0.25,0.10029603315571343,0.14970396684428655,0.8630114830988194,0.8624070682038574,0.8627091697879335,16008,2541,22794,2554
2,formal_tcn_wgan_gp_seed2,0.4,19,6636,0.25,0.17954352498054504,0.25,0.09926978488257351,0.15073021511742649,0.8641641911963273,0.8619760801637755,0.8630687488200232,16000,2515,22820,2562
2,formal_tcn_wgan_gp_seed2,1.0,0,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,1,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,2,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,3,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
2,formal_tcn_wgan_gp_seed2,1.0,4,16591,0.25,0.17442384362220764,0.2500150684105841,0.10451943951055852,0.14548056048944147,0.8585394518937978,0.8658010990195022,0.8621549851130603,16071,2648,22687,2491
