time_step,feature_index,feature_name,abs_ig_attribution
5,15,Flow Packets/s,1.5107353647181299e-05
5,16,Flow IAT Mean,1.2549579878395889e-05
5,17,Flow IAT Std,4.714569513453171e-06
5,18,Flow IAT Max,5.032322405895684e-06
5,19,Flow IAT Min,1.5427153812197503e-06
5,20,Fwd IAT Total,6.136197043815628e-05
5,21,Fwd IAT Mean,3.3792955946410075e-05
5,22,Fwd IAT Std,1.5699966752436012e-05
5,23,Fwd IAT Max,4.9474525440018624e-05
5,24,Fwd IAT Min,6.746465714968508e-06
5,25,Bwd IAT Total,3.820780329988338e-05
5,26,Bwd IAT Mean,1.5471294318558648e-05
5,27,Bwd IAT Std,1.4421292604538394e-08
5,28,Bwd IAT Max,2.126677100022789e-05
5,29,Bwd IAT Min,6.44167857899447e-06
5,30,Fwd PSH Flags,3.6483004805631936e-05
5,31,Bwd PSH Flags,0.0
5,32,Fwd URG Flags,0.0
5,33,Bwd URG Flags,0.0
5,34,Fwd Header Length,6.798545371111686e-08
5,35,Bwd Header Length,1.0460693289360279e-07
5,36,Fwd Packets/s,1.6729349226807244e-05
5,37,Bwd Packets/s,6.186964128573891e-06
5,38,Min Packet Length,1.6537460396648385e-05
5,39,Max Packet Length,0.00013733538798987865
5,40,Packet Length Mean,0.0002383716346230358
5,41,Packet Length Std,0.00014460954116657376
5,42,Packet Length Variance,7.409560930682346e-05
5,43,FIN Flag Count,8.632650860818103e-06
5,44,SYN Flag Count,6.887604104122147e-05
5,45,RST Flag Count,2.0182861248940753e-07
5,46,PSH Flag Count,9.965205390471965e-05
5,47,ACK Flag Count,0.0003263560065533966
5,48,URG Flag Count,0.00011966210877289996
5,49,CWE Flag Count,0.0
5,50,ECE Flag Count,5.890647116757464e-07
5,51,Down/Up Ratio,2.387108361290302e-05
5,52,Average Packet Size,0.0002960550773423165
5,53,Avg Fwd Segment Size,6.816490895289462e-06
5,54,Avg Bwd Segment Size,7.417315828206483e-06
5,55,Fwd Header Length.1,4.9542592250872985e-08
5,56,Fwd Avg Bytes/Bulk,0.0
5,57,Fwd Avg Packets/Bulk,0.0
5,58,Fwd Avg Bulk Rate,0.0
5,59,Bwd Avg Bytes/Bulk,0.0
5,60,Bwd Avg Packets/Bulk,0.0
5,61,Bwd Avg Bulk Rate,0.0
5,62,Subflow Fwd Packets,7.997552842198274e-08
5,63,Subflow Fwd Bytes,5.820647430709869e-08
5,64,Subflow Bwd Packets,9.014778612481678e-08
