alpha,auc,ap,calib_threshold,calib_precision,calib_recall,calib_f1,calib_fpr,test_benign_fpr
0.8,0.9527116043784966,0.9411914170023945,0.5621532201766968,0.9840794828824513,0.44289408468914987,0.610863426957515,0.005249654627985001,0.005249654627985001
0.82,0.9536866574051445,0.9422856813203054,0.5657445788383484,0.9841078738261495,0.4403620299536688,0.6084561560216064,0.005210183540556542,0.005210183540556542
0.84,0.9549892139225126,0.9437486311284374,0.5677030682563782,0.983960443801254,0.43955392737851523,0.6076562150885728,0.005249654627985001,0.005249654627985001
0.86,0.9565807204045469,0.9455069053660589,0.5702396631240845,0.983886600436152,0.4375067341881263,0.6056831742239175,0.005249654627985001,0.005249654627985001
0.88,0.9582209320650105,0.9472656123716455,0.5729094743728638,0.9837260140879279,0.4363753905829113,0.6045678459467304,0.00528912571541346,0.00528912571541346
0.9,0.959454694870228,0.9485191224819227,0.575835645198822,0.9835726454125089,0.4354595409977373,0.6036594473483422,0.0053285968028419185,0.0053285968028419185
0.92,0.9600645489009922,0.9489885129330882,0.5786951780319214,0.9835285505124449,0.43427432388751214,0.6025113984598485,0.0053285968028419185,0.0053285968028419185
0.94,0.9596461387879732,0.9482822686654654,0.5822224617004395,0.9835043988269794,0.4336278418273893,0.6018843939276393,0.0053285968028419185,0.0053285968028419185
0.96,0.9576121136133638,0.9459768391426452,0.5845667123794556,0.98348623853211,0.43314298028229714,0.601413771178092,0.0053285968028419185,0.0053285968028419185
0.98,0.9522935504451534,0.9410267538481709,0.5870575904846191,0.9834599362901248,0.4324426247171641,0.600733423139824,0.0053285968028419185,0.0053285968028419185
1.0,0.9411498143389516,0.9319788822331472,0.5898323059082031,0.9833210694137845,0.43195776317207196,0.600239556819459,0.005368067890270377,0.005368067890270377
